date,text,score
2019-06-09 23:38:01,labcorp selects new ceo,1.0
2019-06-09 23:30:00,bioxcel pharmaceuticals ceo drug pipeline ai changing sector,-1.0
2019-06-09 21:49:40,over more tweets good luck,1.0
2019-06-09 21:45:19,over more tweets good luck,1.0
2019-06-09 19:58:14,know changed,1.0
2019-06-09 19:41:46,hours left votes make vote matter,-1.0
2019-06-09 19:08:45,options largest change volume free options screener,1.0
2019-06-09 17:36:02,short sale volume not short interest,-1.0
2019-06-09 16:32:51,add multiple fdc multiple indications selling reasonable price could help millions not,-1.0
2019-06-09 16:32:12,fact could buy amp,1.0
2019-06-09 16:19:43,add multiple fdc multiple indications selling reasonable price could help millions not thousands people shareholders over per share,-1.0
2019-06-09 16:08:23,fact could buy amp,1.0
2019-06-09 15:58:40,agreed despite originally non agreeable fda done well anyone could hoped kudos really reach full potential quickly possible take win patients shareholders,1.0
2019-06-09 13:31:43,hours remaining please vote nnot voting vote,-1.0
2019-06-09 13:18:53,hours remaining please vote nnot voting vote,-1.0
2019-06-09 13:13:39,worse not getting numbers right followers plus tweeps cashtags amp,-1.0
2019-06-09 13:10:02,worse not getting numbers right followers plus tweeps cashtags amp,-1.0
2019-06-09 12:00:00,asset watch top dow gainers friday pg,1.0
2019-06-09 08:58:00,appreciate reply take more interested data data end mont,1.0
2019-06-09 07:54:01,short sale vol not short interest,-1.0
2019-06-09 02:33:57,appreciate reply take more interested data data end month nas merch make srpt hat something along lines,1.0
2019-06-09 01:30:28,biotech war led vilification biotech sector biotech industry severely miscalculated underesti,1.0
2019-06-09 01:30:22,fy eps estimates pfizer inc pfe increased analyst,1.0
2019-06-09 00:59:13,biotech war led vilification biotech sector biotech industry severely miscalculated underestimated situation nevertheless remain long,1.0
2019-06-09 00:27:07,fy eps estimates pfizer inc pfe increased analyst,1.0
2019-06-08 23:42:36,jumps nyse shorts,1.0
2019-06-08 23:30:15,record nthe first vote,1.0
2019-06-08 23:19:50,ever tweet nunder votes,1.0
2019-06-08 22:47:25,technical trading focusing shares pfizer inc pfe,1.0
2019-06-08 19:36:21,stock option data,-1.0
2019-06-08 18:27:03,shorts major trouble,-1.0
2019-06-08 17:50:20,options largest change volume free options screener,1.0
2019-06-08 17:15:10,open interest maturity high put high call,1.0
2019-06-08 14:57:22,naturalshrimp latest buy sell neutral rating,-1.0
2019-06-08 14:50:56,light colored arrows confirmation add signals see,1.0
2019-06-08 14:21:20,story hep gt,1.0
2019-06-08 12:48:03,maligned management maximum malignment yes made up word,1.0
2019-06-08 12:45:39,maligned management maximum malignment yes made up word earthly way let walk out door arms rival everyone needs wake up poor management not,-1.0
2019-06-08 11:55:00,shares pfizer inc pfe royal dutch shell plc rds angled up down,-1.0
2019-06-08 11:01:15,rally detected,1.0
2019-06-08 08:42:07,technical alerts shooting star candlestick stochastic reached overbought upper bolling,-1.0
2019-06-08 07:30:11,active stocks friday,1.0
2019-06-08 06:30:08,top money flow friday share price volume traded,1.0
2019-06-08 05:39:38,naturalshrimp latest buy sell neutral rating,-1.0
2019-06-08 05:23:02,know value,1.0
2019-06-08 05:15:22,naturalshrimp latest buy sell neutral rating,-1.0
2019-06-08 05:15:01,pfizer inc stock rises dead deserves portfolio,-1.0
2019-06-08 04:05:30,probably deep discussions bidding war brewing clealry joining bid,1.0
2019-06-08 04:01:42,chart free options app,1.0
2019-06-08 03:40:01,not sure explore pros cons,-1.0
2019-06-08 02:00:02,short sale volume not short interest,-1.0
2019-06-08 01:35:09,probably deep discussions bidding war brewing clealry joining bidding war,1.0
2019-06-08 01:18:02,short sale volume not short interest,-1.0
2019-06-08 01:01:09,top flow today free stocks app,1.0
2019-06-08 00:31:06,naturalshrimp latest buy sell neutral rating,-1.0
2019-06-07 23:46:03,ncramer lightning round tesla darn hard recommend,-1.0
2019-06-07 23:22:33,pfizer names calico jeff settleman new head oncology amp,1.0
2019-06-07 22:18:01,short sale volume not short interest,-1.0
2019-06-07 22:00:17,extremely oversold bouncing afterhours coh,-1.0
2019-06-07 21:15:31,mentioned recent low hit high move plus divident target hit target disl hold large position long defensive play major corrective down move also hold pg cost afl,-1.0
2019-06-07 21:00:32,defended downgrade overblown bouncing afterhours,-1.0
2019-06-07 20:46:55,detailed work boston university explains role elevated galectin amp,1.0
2019-06-07 20:33:20,largest buy close order imbalances,1.0
2019-06-07 20:29:39,bouncing hard afterhours,-1.0
2019-06-07 20:29:27,defended downgrade overblown bouncing afterhours,-1.0
2019-06-07 20:14:40,whole wapo story wrong headed nlots people already pointed out small effect observati,-1.0
2019-06-07 19:55:00,asset watch top money flow friday share price volume traded,1.0
2019-06-07 19:46:58,shorts major trouble,-1.0
2019-06-07 19:40:00,asset watch active stocks friday,1.0
2019-06-07 18:55:58,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-07 18:36:15,based response pretty much guarantee industry consensus story pfizer,1.0
2019-06-07 18:04:19,global cord blood pfizer confirm acquisition agreement announcement pending,1.0
2019-06-07 17:04:26,story hep gt,1.0
2019-06-07 17:03:10,buyout could signal buying spree,1.0
2019-06-07 17:01:25,wait partnership sickle cell beta thallasemia partnership,-1.0
2019-06-07 16:48:22,buyout could signal buying spree,1.0
2019-06-07 16:38:55,vivus reject lowball buyout offer pfizer talks philadelphia next week,1.0
2019-06-07 16:32:48,top selling products valuable current pipeline assets,1.0
2019-06-07 16:28:23,icymi nconference chatter industry chiefs acting us fda commissioner speak candidly drug prices bio,1.0
2019-06-07 16:19:19,wait partnership sickle cell beta thallasemia partnership auto allo car tcr nk cells nas well mps nadditional partnership als,-1.0
2019-06-07 16:18:01,short sale volume not short interest,-1.0
2019-06-07 16:16:19,owed partnered hem program even shown proof concept hem program many companies likely beat market hem indication good questions might give clue more highly valued,-1.0
2019-06-07 16:10:37,buyout could signal buying spree,1.0
2019-06-07 16:05:12,icymi nconference chatter industry chiefs acting us fda commissioner speak candidly drug prices bio,1.0
2019-06-07 16:00:01,top selling products valuable current pipeline assets,1.0
2019-06-07 15:55:58,gets dmd due report data gene therapy contender take upcoming readout,1.0
2019-06-07 15:55:12,story hep gt,1.0
2019-06-07 15:38:22,smartmetric present advantis smartmetric biometric card secure payments id conference madrid,1.0
2019-06-07 15:32:26,year bare minimum behind benefit sarepta learned needing commercial supply technically commercial facility not scale trials approval commercial supply non could potentially,1.0
2019-06-07 15:13:27,story hep gt,1.0
2019-06-07 15:01:12,given platform value gugg said buy current px hem unpartnered hem plus hem more common clinic ph partner mkt cap,1.0
2019-06-07 14:57:57,gets dmd due report data gene therapy contender take upcoming readout,1.0
2019-06-07 14:54:56,story hep gt,1.0
2019-06-07 14:54:52,gets dmd due report data gene therapy contender take upcoming readout via,1.0
2019-06-07 14:54:10,story hep gt,1.0
2019-06-07 14:46:38,bull stocks join free catch,1.0
2019-06-07 14:35:57,bull stocks join free catch,1.0
2019-06-07 14:33:35,smartmetric present advantis smartmetric biometric card secure payments id conference madrid,1.0
2019-06-07 14:17:01,pfizer scoops calico exec jeff settleman head big oncology amp,1.0
2019-06-07 14:03:31,rose upper bollinger band today,1.0
2019-06-07 13:53:14,running track need beat usain bolts world record comfortably ahead nwe comfortably ahead lap next invested company gtx manufacturing right facility small demand,1.0
2019-06-07 13:47:52,attempt single capital investment nsarepta outspent several times amount double down year even greater amount last year nthe investments made anyone else,-1.0
2019-06-07 13:45:50,going dmd gene therapy slightly different way companies already space like latest story,-1.0
2019-06-07 13:34:19,solutions completes time machine laser sales two new markets,1.0
2019-06-07 13:15:34,thin afterhours,-1.0
2019-06-07 13:08:37,unknown oversold dont sleep,-1.0
2019-06-07 13:08:31,massive merger oversold unknown perfect xbe,1.0
2019-06-07 13:05:54,massive merger oversold unknown perfect xbe,1.0
2019-06-07 12:59:15,pfizer inc march ltm peer snapshot compares key performance metrics industry peers,1.0
2019-06-07 12:52:11,reasons pfizer sat potential new alzheimer drug,-1.0
2019-06-07 12:04:23,exactly right nand one reason big drug hurts nme saw lipitor era possibly within set performance still varies,1.0
2019-06-07 11:58:45,vivus reject lowball buyout offer pfizer talks philadelphia next week,1.0
2019-06-07 11:41:54,one oversold acting well june day ema look monthly chart,1.0
